Product,Ingredients,Ingredient - 1,Ingredient - 2,Ingredient - 3,Ingredient - 4,Ingredient - 5,Ingredient - 6,Manufacturing Step 1,Manufacturing Step 1 Description,Manufacturing Step 2,Manufacturing Step 2 Description,Manufacturing Step 3,Manufacturing Step 3 Description,Manufacturing Step 4,Manufacturing Step 4 Description,Manufacturing Step 5,Manufacturing Step 5 Description,,,,,,,,,,
Egg Yolk,Chicken eggs,Chicken eggs,,,,,,Egg Processing,Separate yolk from eggs,Pasteurization,Pasteurize yolks to eliminate pathogens,Homogenization,Homogenize for consistent texture,Drying,Dry yolks to form powder,,,,,,,,,,,,
Tapioca Starch,Cassava root,Cassava root,,,,,,Root Harvesting,Harvest cassava root,Washing,Wash roots to clean,Grinding,Grind to form a pulp,Separation,Separate starch from pulp,Drying,Dry starch to form powder,,,,,,,,,,
Onion Powder,Onion,Onion,,,,,,Onion Harvesting,Harvest onions,Peeling,Peel and clean onions,Chopping,Chop into smaller pieces,Drying,Dry the chopped onions,Grinding,Grind dried onions to form powder,,,,,,,,,,
Stabiliser: 401,Alginic acid,Alginic acid,,,,,,Extraction,Extract alginic acid from seaweed,Purification,Purify extracted alginic acid,Drying,Dry to form powder,,,,,,,,,,,,,,
Natural Flavours,Various natural sources,Various natural sources,,,,,,Source Selection,Select various natural sources,Extraction,Extract flavour components,Blending,Blend extracted flavours to desired profile,Concentration,Concentrate flavour blend,,,,,,,,,,,,
Vegetable Powder: Onion,Onion,Onion,,,,,,Onion Harvesting,Harvest onions,Peeling,Peel and clean onions,Chopping,Chop into smaller pieces,Drying,Dry the chopped onions,Grinding,Grind dried onions to form powder,,,,,,,,,,
Hydrolysed Milk Protein,Milk,Milk,,,,,,Milk Processing,Process milk,Hydrolysis,Break down milk proteins into peptides,Filtration,Filter to remove impurities,Drying,Dry to form powder,,,,,,,,,,,,
Buttermilk Powder,Dairy buttermilk,Dairy buttermilk,,,,,,Buttermilk Collection,Collect dairy buttermilk,Pasteurization,Pasteurize buttermilk to eliminate pathogens,Concentration,Concentrate buttermilk,Drying,Dry to form powder,,,,,,,,,,,,
Fried Onion,Onions,Onions,,,,,,Onion Harvesting,Harvest onions,Peeling and Slicing,Peel and slice onions,Frying,Fry slices until crisp,Drying,Dry the fried onions to enhance crispness,,,,,,,,,,,,
Dried Herb: Oregano,Oregano plants,Oregano plants,,,,,,Harvesting,Harvest oregano plants,Drying,Dry the harvested oregano,Grinding,Grind dried oregano into powder,,,,,,,,,,,,,,
Emulsifier: 304,"Ascorbic Acid, Palmitic Acid",Ascorbic Acid,Palmitic Acid,,,,,Synthesis,React ascorbic acid with palmitic acid,Purification,Purify the emulsifier to remove by-products,Concentration,Concentrate emulsifier solution,Drying,Dry to form a powdered emulsifier,,,,,,,,,,,,
Gelling Agent: 508,"Potassium, Chlorine",Potassium,Chlorine,,,,,Chemical Synthesis,Synthesize potassium chloride,Crystallization,Crystallize the compound,Drying,Dry to form powder,,,,,,,,,,,,,,
Natural Colour: Paprika,Paprika peppers,Paprika peppers,,,,,,Pepper Harvesting,Harvest paprika peppers,Drying,Dry the peppers,Grinding,Grind dried peppers to extract color,Concentration,Concentrate paprika extract,Drying,Dry to form color powder,,,,,,,,,,
Mineral Salt: Potassium Chloride,Potassium chloride,Potassium chloride,,,,,,Extraction,Extract potassium chloride from mineral sources,Purification,Purify the extracted salts,Evaporation,Evaporate water to crystallize salts,Drying,Dry the crystallized salts,,,,,,,,,,,,
Pineapple Pieces,Pineapple plants,Pineapple plants,,,,,,Harvesting,Harvest pineapples,Cutting,Cut pineapples into pieces,Canning or Freezing,Can or freeze the pineapple pieces for preservation,,,,,,,,,,,,,,
Natural Smoke Oil,"Hickory, Oak, Othe Woods",Hickory,Oak,Othe Woods,,,,Wood Selection,Select wood types like hickory and oak,Smoking,Expose to smoke to infuse flavor,Condensation,Condense smoke to capture flavor compounds,Filtration,Filter to obtain pure smoke oil,,,,,,,,,,,,
Spice: Paprika,Paprika peppers,Paprika peppers,,,,,,Pepper Harvesting,Harvest paprika peppers,Drying,Dry the peppers,Grinding,Grind dried peppers into powder,,,,,,,,,,,,,,
paprika powder,Paprika peppers,Paprika peppers,,,,,,Pepper Harvesting,Harvest paprika peppers,Drying,Dry the peppers,Grinding,Grind dried peppers into powder,Sieving,Sieve to ensure uniform particle size,,,,,,,,,,,,
Antioxidant: 385,"Disodium EDTA, Calcium Carbonate, Calcium Chloride",Disodium EDTA,Calcium Carbonate,Calcium Chloride,,,,Chemical Mixing,"Mix disodium EDTA, calcium carbonate, and chloride",Heating,Heat to initiate reaction,Cooling,Cool the mixture to room temperature,Drying,Dry to form antioxidant powder,,,,,,,,,,,,
Flavour Enhancer: 621,"Glutamate Amino Acid, Sodium",Glutamate Amino Acid,Sodium,,,,,Chemical Synthesis,Synthesize glutamate and sodium compounds,Blending,Blend to achieve the desired flavour profile,Crystallization,Crystallize the flavour enhancer,Drying,Dry to form powder,,,,,,,,,,,,
Colour: Paprika Oleoresin,Paprika peppers,Paprika peppers,,,,,,Pepper Harvesting,Harvest paprika peppers,Extraction,Extract oleoresin from peppers,Concentration,Concentrate oleoresin for intensity,Filtration,Filter to purify oleoresin,,,,,,,,,,,,
Stabiliser: 407,Carrageenan,Carrageenan,,,,,,Seaweed Processing,Extract carrageenan from seaweed,Purification,Purify carrageenan extract,Drying,Dry to form powder,Milling,Mill to achieve desired consistency,,,,,,,,,,,,
Spices,Various spice plants,Various spice plants,,,,,,Harvesting,Harvest various spice plants,Drying,Dry the harvested plants,Grinding,Grind dried plants into powder,Blending,Blend different spices for flavor profile,,,,,,,,,,,,
Maltodextrin: Maize,Maize starch,Maize starch,,,,,,Starch Extraction,Extract starch from maize,Hydrolysis,Hydrolyze starch to reduce molecular weight,Purification,Purify maltodextrin solution,Drying,Dry to form powder,,,,,,,,,,,,
Food Colour: Paprika Extract,Paprika peppers,Paprika peppers,,,,,,Pepper Harvesting,Harvest paprika peppers,Drying,Dry the peppers,Extraction,Extract colour from dried peppers,Concentration,Concentrate extract,Drying,Dry to form powder,,,,,,,,,,
Thickener: 1422,Maize,Maize,,,,,,Starch Extraction,Extract starch from maize,Modification,Chemically modify starch to improve thickening,Purification,Purify modified starch,Drying,Dry to form powder,,,,,,,,,,,,
Natural Colour: 160b,Annatto seeds,Annatto seeds,,,,,,Seed Harvesting,Harvest annatto seeds,Extraction,Extract colour from seeds,Filtration,Filter to purify extract,Concentration,Concentrate colour,Drying,Dry to form powder,,,,,,,,,,
Sliced Peaches,Peach,Peach,,,,,,Peach Harvesting,Harvest peaches,Slicing,Slice peaches,Canning or Freezing,Preserve slices by canning or freezing,,,,,,,,,,,,,,
Emulsifier: E476,"Glycerol, Fatty acids, Castor bean, Soybean oil",Glycerol,Fatty acids,Castor bean,Soybean oil,,,Material Processing,Process glycerol and fatty acids from sources,Blending,Blend with castor bean and soybean oil,Chemical Reaction,React to form emulsifier E476,Purification,Purify emulsifier,Drying,Dry to form powder,,,,,,,,,,
Diced Peaches,Peach,Peach,,,,,,Peach Harvesting,Harvest peaches,Dicing,Dice peaches,Canning or Freezing,Preserve diced peaches by canning or freezing,,,,,,,,,,,,,,
Peanuts,Peanut plants,Peanut plants,,,,,,Peanut Plant Harvesting,Harvest peanut plants,Shelling,Remove shells from peanuts,Roasting,Roast peanuts if needed,Grinding,Grind into butter or powder if needed,,,,,,,,,,,,
Rice Bran Oil,Rice bran,Rice bran,,,,,,Bran Processing,Process rice bran,Extraction,Extract oil from bran,Refining,Refine oil to remove impurities,Deodorizing,Deodorize oil,,,,,,,,,,,,
Spice: White Pepper,Pepper plants,Pepper plants,,,,,,Pepper Plant Harvesting,Harvest pepper plants,Drying,Dry the harvested peppers,Grinding,Grind dried peppers into powder,Sieving,Sieve to ensure uniform particle size,,,,,,,,,,,,
Raising Agent: 450,Potasium,Potasium,,,,,,Chemical Synthesis,Synthesize potassium compounds,Blending,Blend with other raising agents,Drying,Dry to form powder,,,,,,,,,,,,,,
Natural Colour: 141,Chlorophyll,Chlorophyll,,,,,,Chlorophyll Extraction,Extract chlorophyll from plants,Purification,Purify extracted chlorophyll,Concentration,Concentrate the chlorophyll,Stabilizing,Stabilize chlorophyll for storage,Drying,Dry to form powder,,,,,,,,,,
Pear Juice Concentrate,Pear,Pear,,,,,,Pear Harvesting,Harvest pears,Juicing,Juice the pears,Concentration,Concentrate the juice by evaporating water,Pasteurization,Pasteurize to eliminate pathogens,,,,,,,,,,,,
wheat Starch,Wheat Grains,Wheat Grains,,,,,,Wheat Grain Processing,Process Wheat Grains to extract starch,Wet Milling,Mill grains with water to separate starch,Sedimentation,Settle out the starch,Drying,Dry to obtain powdered starch,,,,,,,,,,,,
Potassium Metabisulfite: E224,"Sulfurous Acid, Potassium Hydroxide",Sulfurous Acid,Potassium Hydroxide,,,,,Chemical Reaction,React sulfurous acid with potassium hydroxide,Crystallization,Crystallize the reaction product,Drying,Dry to form powder,,,,,,,,,,,,,,
Diced Pears,Pear,Pear,,,,,,Harvesting,Harvest pears,Dicing,Dice pears into small pieces,Canning or Freezing,Preserve by canning or freezing,,,,,,,,,,,,,,
Thickener: 412,Guar beans,Guar beans,,,,,,Guar Bean Processing,Process guar beans,Grinding,Grind beans to a fine powder,Hydration,Hydrate powder to form gel,Drying,Dry to recover powder form,,,,,,,,,,,,
Vitamin: Thiamin,"Thiazole, Pyrimidine",Thiazole,Pyrimidine,,,,,Chemical Synthesis,Synthesize thiamin from thiazole and pyrimidine,Purification,Purify the synthesized thiamin,Crystallization,Crystallize to purify,Drying,Dry to form powder,,,,,,,,,,,,
Mineral Salt: 339,Chemical synthesis,Chemical synthesis,,,,,,Chemical Synthesis,Synthesize the compound chemically,Crystallization,Crystallize the salt,Drying,Dry to form powder,,,,,,,,,,,,,,
Antioxidant: Ascorbic Acid,"Glucose, Sorbitol",Glucose,Sorbitol,,,,,Chemical Reaction,React glucose with sorbitol to synthesize,Purification,Purify ascorbic acid,Concentration,Concentrate the ascorbic acid solution,Crystallization,Crystallize to form powder,Drying,Dry to form powder,,,,,,,,,,
Stabiliser: 410,Carob bean seeds,Carob bean seeds,,,,,,Carob Seed Processing,Process carob bean seeds,Grinding,Grind seeds to form a powder,Hydration,Hydrate powder to form gel,Drying,Dry to form powder,,,,,,,,,,,,
Food Acid: Potassium Phosphate,"Phosphoric Acid, Potassium Hydroxide, Potassium Carbonate",Phosphoric Acid,Potassium Hydroxide,Potassium Carbonate,,,,Chemical Reaction,React phosphoric acid with potassium compounds,Evaporation,Evaporate water to concentrate,Crystallization,Crystallize to purify,Drying,Dry to form powder,,,,,,,,,,,,
Dehydrated Potato,Potatoes,Potatoes,,,,,,Potato Harvesting,Harvest potatoes,Slicing or Dicing,Slice or dice potatoes,Drying,Dry the potato pieces,Grinding,Grind into flakes or powder if needed,,,,,,,,,,,,
Cultured Non-Fat Milk,"Non-fat milk, bacterial cultures",Non-fat milk,bacterial cultures,,,,,Milk Processing,Process non-fat milk,Inoculation,Inoculate with bacterial cultures,Fermentation,Ferment milk to develop cultures,Separation,Separate curds from whey if needed,Drying,Dry to form powder if needed,,,,,,,,,,
Chicken Fat,Chicken,Chicken,,,,,,Fat Rendering,Render fat from chicken,Clarification,Clarify rendered fat,,,,,,,,,,,,,,,,
Vitamin: Riboflavin,"Synthetic, dairy, meat",Synthetic,dairy,meat,,,,Chemical Synthesis,Synthesize riboflavin synthetically,Purification,Purify the synthesized riboflavin,Crystallization,Crystallize to purify,Drying,Dry to form powder,,,,,,,,,,,,
Caking Agent: 551,"Silicon Dioxide, Silica",Silicon Dioxide,Silica,,,,,Silica Processing,Process silicon dioxide from silica,Milling,Mill to fine powder,,,,,,,,,,,,,,,,
Sesame Oil,Sesame seeds,Sesame seeds,,,,,,Sesame Seed Pressing,Press oil from sesame seeds,Filtration,Filter oil to remove solids,Refining,Refine oil to improve quality,,,,,,,,,,,,,,
Food Colour: Annatto,Annatto seeds,Annatto seeds,,,,,,Annatto Seed Processing,Process annatto seeds,Extraction,Extract colour from seeds,Filtration,Filter to purify extract,Concentration,Concentrate extract,Drying,Dry to form powder,,,,,,,,,,
Vinegar Flavour Acid: Sodium Diacetate,"Sodium Acetate, Acetic Acid",Sodium Acetate,Acetic Acid,,,,,Chemical Reaction,React sodium acetate with acetic acid,Evaporation,Evaporate water to concentrate,Crystallization,Crystallize to purify,Drying,Dry to form powder,,,,,,,,,,,,
Vegetable Powder,Various vegetables,Various vegetables,,,,,,Vegetable Selection,Select and harvest various vegetables,Drying,Dry the vegetables,Grinding,Grind into fine powder,,,,,,,,,,,,,,
raising agent: 500,"Sodium Chloride, Limestone",Sodium Chloride,Limestone,,,,,Chemical Synthesis,React sodium chloride with limestone,Purification,Purify sodium bicarbonate produced,Crystallization,Crystallize the compound,Drying,Dry to form powder,,,,,,,,,,,,
Natural Flavour,Various natural sources,Various natural sources,,,,,,Source Selection,Select various natural sources,Extraction,Extract natural flavours,Blending,Blend extracted flavours to desired profile,Concentration,Concentrate flavour blend,Drying,Dry to form powder,,,,,,,,,,
Raising Agent: Baking Soda,"Sodium Chloride, Limestone",Sodium Chloride,Limestone,,,,,Chemical Synthesis,React sodium chloride with limestone,Purification,Purify sodium bicarbonate produced,Crystallization,Crystallize the compound,Drying,Dry to form powder,,,,,,,,,,,,
Pepper,Pepper plants,Pepper plants,,,,,,Pepper Plant Harvesting,Harvest pepper plants,Drying,Dry the harvested peppers,Grinding,Grind dried peppers into powder,Sieving,Sieve to ensure uniform particle size,,,,,,,,,,,,
Maize Starch,Corn kernels,Corn kernels,,,,,,Corn Kernel Processing,Process corn kernels to extract starch,Separation,Separate starch from other components,Drying,Dry to form powder,,,,,,,,,,,,,,
Whey,Dairy milk,Dairy milk,,,,,,Milk Processing,Process dairy milk,Separation,Separate whey from milk curds,Concentration,Concentrate whey,Drying,Dry to form powder,,,,,,,,,,,,
Natural Lemon Flavour,Lemon,Lemon,,,,,,Lemon Processing,Process lemons,Extraction,Extract flavour from lemons,Concentration,Concentrate lemon extract,Blending,Blend to standardize flavour,Drying,Dry to form powder,,,,,,,,,,
White Vinegar,"Sugar beets, Potatoes, Acetic Acid Bacteria, Yeast. ",Sugar beets,Potatoes,Acetic Acid Bacteria,Yeast.,,,Fermentation,Ferment sugar beets or potatoes,Acetification,Convert alcohol to acetic acid with bacteria,Purification,Purify vinegar,,,,,,,,,,,,,,
Maize Thickener: 1412,Maize,Maize,,,,,,Starch Extraction,Extract starch from maize,Modification,Chemically modify starch to improve thickening,Drying,Dry to form powder,,,,,,,,,,,,,,
Raising Agent: Sodium Bicarbonate,"Sodium Carbonate, Carbon Dioxide",Sodium Carbonate,Carbon Dioxide,,,,,Chemical Synthesis,React sodium carbonate with carbon dioxide,Crystallization,Crystallize the compound,Drying,Dry to form powder,,,,,,,,,,,,,,
Vitamin: Niacin,"Tuna, Salmon, Chicken",Tuna,Salmon,Chicken,,,,Source Processing,"Process tuna, salmon, or chicken",Extraction,Extract niacin from food sources,Concentration,Concentrate niacin solution,Purification,Purify niacin extract,Drying,Dry to form powder,,,,,,,,,,
Preservatives: 223,"Sulfur Dioxide, Sodium Carbonate",Sulfur Dioxide,Sodium Carbonate,,,,,Chemical Reaction,React sulfur dioxide with sodium carbonate,Crystallization,Crystallize the compound,Drying,Dry to form preservative powder,,,,,,,,,,,,,,
Preservative: 223,"Sulfur Dioxide, Sodium Carbonate",Sulfur Dioxide,Sodium Carbonate,,,,,Chemical Reaction,React sulfur dioxide with sodium carbonate,Crystallization,Crystallize the compound,Drying,Dry to form preservative powder,,,,,,,,,,,,,,
Antioxidant: E307b From Soy,Soybean oil,Soybean oil,,,,,,Oil Extraction,Extract oil from soybeans,Antioxidant Infusion,Infuse oil with antioxidant properties,Purification,Purify to remove impurities,,,,,,,,,,,,,,
Emulsifier: Soy Lecithin,Soybean oil,Soybean oil,,,,,,Oil Extraction,Extract oil from soybeans,Separation,Separate lecithin from oil,Purification,Purify lecithin,Drying,Dry to form powder,,,,,,,,,,,,
Emulsifier: 476,"Glycerol, Fatty acids, Castor bean, Soybean oil",Glycerol,Fatty acids,Castor bean,Soybean oil,,,Material Processing,Process glycerol and fatty acids,Chemical Reaction,React with castor bean extract,Blending,Blend with soybean oil to form emulsifier,Purification,Purify emulsifier,Drying,Dry to form powder,,,,,,,,,,
Soybean Oil,Soybean seeds,Soybean seeds,,,,,,Seed Pressing,Press oil from soybean seeds,Refining,Refine oil to remove impurities,Deodorizing,Deodorize oil,,,,,,,,,,,,,,
Emulsifier: 322 from Soy,Soybean,Soybean,,,,,,Oil Extraction,Extract oil from soybeans,Emulsification,Produce lecithin emulsifier from oil,Purification,Purify the emulsifier,Concentration,Concentrate emulsifier,Drying,Dry to form powder,,,,,,,,,,
Raising Agent: 503,"Ammonia, Carbon dioxide",Ammonia,Carbon dioxide,,,,,Chemical Synthesis,Synthesize the compound from ammonia and CO2,Crystallization,Crystallize the raising agent,Drying,Dry to form powder,,,,,,,,,,,,,,
Herbs,Various herb plants,Various herb plants,,,,,,Harvesting,Harvest various herb plants,Drying,Dry the harvested herbs,Grinding,Grind into fine powder,,,,,,,,,,,,,,
Lemon Juice Concentrate,Lemons,Lemons,,,,,,Juicing,Juice lemons,Concentration,Concentrate lemon juice by evaporating water,Pasteurization,Pasteurize to eliminate pathogens,,,,,,,,,,,,,,
Vinegar,"Sugar beets, Potatoes, Acetic Acid Bacteria, Yeast. ",Sugar beets,Potatoes,Acetic Acid Bacteria,Yeast.,,,Fermentation,Ferment sugars from beets or potatoes,Acetification,Convert alcohol to acetic acid with bacteria,Aging,Age vinegar to develop flavor,,,,,,,,,,,,,,
Soy Sauce,"Soybeans, wheat, salt",Soybeans,wheat,salt,,,,Fermentation,Ferment soybeans and wheat with salt,Aging,Age soy sauce to develop flavor,Pasteurization,Pasteurize to eliminate pathogens,,,,,,,,,,,,,,
Food Colour: Beet Red,Beets,Beets,,,,,,Root Processing,Process beets,Extraction,Extract colour from beets,Concentration,Concentrate beet extract,Drying,Dry to form powder,,,,,,,,,,,,
Spice: Turmeric,Turmeric plants,Turmeric plants,,,,,,Harvesting,Harvest turmeric plants,Drying,Dry the plants,Grinding,Grind into fine powder,,,,,,,,,,,,,,
Onion Sweet Soy Sauce: Sugar,,,,,,,,(Not enough data provided),,,,,,,,,,,,,,,,,,,
Emulsifier: E307b From Soy,Soybeans,Soybeans,,,,,,Oil Extraction,Extract oil from soybeans,Antioxidant Infusion,Infuse oil with antioxidant properties,Purification,Purify to remove impurities,Drying,Dry to form powder,,,,,,,,,,,,
Antioxidant: 319,"Hydroquinone, Tert-Butanol, Isobutylene",Hydroquinone,Tert-Butanol,Isobutylene,,,,Chemical Synthesis,Synthesize the compound from hydroquinone and other chemicals,Purification,Purify the antioxidant,Concentration,Concentrate the antioxidant solution,Drying,Dry to form powder,,,,,,,,,,,,
Flavour: Wheat,Wheat,Wheat,,,,,,Wheat Harvesting,Harvest wheat,Milling,Mill into fine flour,Extraction,Extract flavour components,Concentration,Concentrate wheat flavour,Drying,Dry to form powder,,,,,,,,,,
Pasteurised Egg,Chicken eggs,Chicken eggs,,,,,,Egg Collection,Collect chicken eggs,Pasteurization,Pasteurize eggs to eliminate pathogens,Separation,Separate egg components if needed,Homogenization,Homogenize for consistent texture,,,,,,,,,,,,
Flavour: Soy,Soybean,Soybean,,,,,,Soybean Processing,Process soybeans,Extraction,Extract flavour components,Concentration,Concentrate soy flavour,Drying,Dry to form powder,,,,,,,,,,,,
Non-Fat Milk Powder,Cow's milk,Cow's milk,,,,,,Milk Processing,Process cow's milk,Fat Removal,Remove fat from milk,Drying,Dry to form powder,,,,,,,,,,,,,,
Soy Sauce Powder: Soy,"Soybean, Wheat",Soybean,Wheat,,,,,Soybean and Wheat Processing,Process soybeans and wheat,Fermentation,Ferment with salt,Drying,Dry fermented mixture,Grinding,Grind to form powder,,,,,,,,,,,,
Flavour: Milk,Cow's milk,Cow's milk,,,,,,Milk Processing,Process cow's milk,Extraction,Extract milk flavour components,Concentration,Concentrate milk flavour,Drying,Dry to form powder,,,,,,,,,,,,
Emulsifier: 322 From Soy,Soybean,Soybean,,,,,,Soybean Processing,Process soybeans,Extraction,Extract lecithin as emulsifier,Purification,Purify the lecithin,Drying,Dry to form powder,,,,,,,,,,,,
Milk Powder: Soy,Soybean,Soybean,,,,,,Soybean Processing,Process soybeans,Extraction,Extract soy milk,Drying,Dry to form powder,,,,,,,,,,,,,,
Colour: 101,Riboflavin,Riboflavin,,,,,,Riboflavin Synthesis,Synthesize riboflavin,Purification,Purify synthesized riboflavin,Crystallization,Crystallize to purify,Drying,Dry to form powder,,,,,,,,,,,,
Humectant: E422,Glycerol,Glycerol,,,,,,Glycerol Processing,Process glycerol,Purification,Purify glycerol,Concentration,Concentrate glycerol,,,,,,,,,,,,,,
Natural Colour: 100,Turmeric,Turmeric,,,,,,Turmeric Harvesting,Harvest turmeric plants,Drying,Dry the plants,Grinding,Grind into fine powder,,,,,,,,,,,,,,
Rice Crisps,Rice grains,Rice grains,,,,,,Rice Grain Processing,Process rice grains,Puffing,Puff rice grains,Drying,Dry to form crisps,,,,,,,,,,,,,,
Wheat Flour: Gluten,Wheat Grains,Wheat Grains,,,,,,Wheat Grain Processing,Process Wheat Grains,Gluten Extraction,Extract gluten,Drying,Dry to form powder,,,,,,,,,,,,,,
Sweet Soy Sauce,"Soybean, Wheat, Sugar",Soybean,Wheat,Sugar,,,,Soybean and Wheat Processing,Process soybeans and wheat,Fermentation,Ferment with salt and sugar,Pasteurization,Pasteurize to eliminate pathogens,,,,,,,,,,,,,,
Acidity Regulator: 270,"Lactic acid bacteria, glucose, sucrose, lactose",Lactic acid bacteria,glucose,sucrose,lactose,,,Fermentation,Ferment sugars with lactic acid bacteria,Separation,Separate and purify lactic acid,Concentration,Concentrate lactic acid,Neutralization,Adjust pH to stabilize,Drying,Dry to form powder,,,,,,,,,,
Spice: Celery,Celery plant,Celery plant,,,,,,Celery Harvesting,Harvest celery plant,Drying,Dry the harvested celery,Grinding,Grind into fine powder,,,,,,,,,,,,,,
Chilli Sauce,"Chili peppers, Vinegar, Sugar",Chili peppers,Vinegar,Sugar,,,,Chilli Pepper Processing,Process chili peppers,Mixing,Mix with vinegar and sugar,Cooking,Cook mixture to develop flavor,Bottling,Bottle the sauce,,,,,,,,,,,,
Spaghetti,"Wheat flour, Water",Wheat flour,Water,,,,,Wheat Flour Processing,Process wheat flour,Dough Formation,Mix flour with water to form dough,Extrusion,Extrude dough into spaghetti shape,Drying,Dry spaghetti,,,,,,,,,,,,
Soy Sauce Powder,"Soybean, Wheat, Salt",Soybean,Wheat,Salt,,,,Soybean and Wheat Processing,Process soybeans and wheat,Fermentation,Ferment with salt,Drying,Dry fermented mixture,Grinding,Grind to form powder,,,,,,,,,,,,
Flavour Enhancer: E621,"Corn starch, Tapioca Starch, Sodium Carbonate",Corn starch,Tapioca Starch,Sodium Carbonate,,,,Chemical Synthesis,Synthesize MSG from starches and sodium carbonate,Crystallization,Crystallize the flavour enhancer,Drying,Dry to form powder,,,,,,,,,,,,,,
Gardenia Extract,Gardenia fruits,Gardenia fruits,,,,,,Gardenia Fruit Processing,Process gardenia fruits,Extraction,Extract color and flavor components,Concentration,Concentrate the extract,Purification,Purify the extract,Drying,Dry to form powder,,,,,,,,,,
Spice Extracts,Various spices depending on the extract,Various spices depending on the extract,,,,,,Spice Selection,Select various spices,Extraction,Extract flavor components,Concentration,Concentrate spice extracts,Blending,Blend extracts for flavor profile,,,,,,,,,,,,
Flavour Enhancer: 621,"Corn starch, Tapioca Starch, Sodium Carbonate",Corn starch,Tapioca Starch,Sodium Carbonate,,,,Chemical Synthesis,Synthesize MSG from starches and sodium carbonate,Crystallization,Crystallize the flavour enhancer,Drying,Dry to form powder,,,,,,,,,,,,,,
Colour: 150c,Caramelized sugar,Caramelized sugar,,,,,,Sugar Processing,Process sugar to caramelize,Heating,Heat sugar until it caramelizes,Cooling,Cool the caramel,Pulverizing,Pulverize into powder if needed,,,,,,,,,,,,
Herb: Rosemary,Rosemary plant,Rosemary plant,,,,,,Rosemary Harvesting,Harvest rosemary plant,Drying,Dry the harvested rosemary,Grinding,Grind into fine powder,,,,,,,,,,,,,,
Barbecue Seasoning Blend,"Various spices, herbs, and flavorings",Various spices,herbs,and flavorings,,,,Spice and Herb Selection,Select various spices and herbs,Grinding,Grind spices and herbs into powder,Blending,Blend with additional flavorings,,,,,,,,,,,,,,
Golden Syrup,Cane Sugar,Cane Sugar,,,,,,Sugar Cane Processing,Process Cane Sugar,Heating,Heat to form a thick syrup,Clarification,Clarify the syrup to remove impurities,Concentration,Concentrate the syrup,,,,,,,,,,,,
Preservative: 202,Chemical synthesis,Chemical synthesis,,,,,,Chemical Synthesis,Synthesize potassium sorbate,Purification,Purify the synthesized preservative,Crystallization,Crystallize the preservative,Drying,Dry to form powder,,,,,,,,,,,,
Invert Syrup,Cane Sugar,Cane Sugar,,,,,,Sugar Processing,Process Cane Sugar,Inversion,Invert sugar with acid or enzymes,Clarification,Clarify the syrup to remove impurities,Concentration,Concentrate the syrup,,,,,,,,,,,,
Condensed Milk,"Milk, sugar",Milk,sugar,,,,,Milk Processing,Process milk,Sugar Addition,Add sugar to milk,Heating,Heat to reduce water content,,,,,,,,,,,,,,
Natural Colour: 150a,Caramelized sugar,Caramelized sugar,,,,,,Sugar Processing,Process sugar to caramelize,Heating,Heat sugar until it caramelizes,Cooling,Cool the caramel,Pulverizing,Pulverize into powder if needed,,,,,,,,,,,,
Pink Icing Sugar,"Cane Sugar, natural or artificial colorants",Cane Sugar,natural or artificial colorants,,,,,Sugar Processing,Process Cane Sugar,Coloring,Mix with natural or artificial colorants,Grinding,Grind to achieve fine consistency,,,,,,,,,,,,,,
Vegetable Extract,Various vegetables,Various vegetables,,,,,,Vegetable Harvesting,Harvest various vegetables,Juicing,Juice the vegetables,Concentration,Concentrate vegetable juice,Drying,Dry to form powder,,,,,,,,,,,,
Flavour,Natural or artificial sources,Natural or artificial sources,,,,,,Flavour Extraction,Extract or synthesize flavours from sources,Concentration,Concentrate flavour components,Blending,Blend flavours for desired profile,Drying,Dry to form powder if needed,,,,,,,,,,,,
Raising Agent: Baking Soda,Nahcolite or synthetic process,Nahcolite or synthetic process,,,,,,Mineral Processing,Process nahcolite or synthesize sodium bicarbonate,Purification,Purify the compound,Crystallization,Crystallize to purify,Drying,Dry to form powder,,,,,,,,,,,,
Hundreds & Thousands,"Cane Sugar, colorants, corn starch",Cane Sugar,colorants,corn starch,,,,Sugar Processing,Process Cane Sugar,Coloring,Mix with colorants,Addition of Corn Starch,Mix with corn starch to prevent sticking,Drying,Dry the mixture,,,,,,,,,,,,
Sugar,"Sugarcane, sugar beet",Sugarcane,sugar beet,,,,,Sugar Cane Processing,Process sugarcane and sugar beet,Crystallization,Crystallize sugar from the plants,Drying,Dry to form granules,,,,,,,,,,,,,,
Lactose: Milk,Milk,Milk,,,,,,Milk Processing,Process milk,Separation,Separate lactose from other milk components,Crystallization,Crystallize lactose,Drying,Dry to form powder,,,,,,,,,,,,
Cane Sugar,Sugarcane,Sugarcane,,,,,,Sugar Cane Processing,Process sugarcane,Crystallization,Crystallize sugar from the cane,Drying,Dry to form granules,,,,,,,,,,,,,,
Caramel,"Cane Sugar, water, heat",Cane Sugar,water,heat,,,,Sugar Cooking,Cook Cane Sugar with water,Heating,Heat until sugar caramelizes,Cooling,Cool the caramel,,,,,,,,,,,,,,
Brown Sugar,"Cane Sugar, Molasses",Cane Sugar,Molasses,,,,,Sugar Cane Processing,Process sugarcane,Mixing with Molasses,Mix sugar with molasses to color and flavor,Drying,Dry to achieve desired consistency,,,,,,,,,,,,,,
